asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
asset,type,registered,owner
SentinelShield AI,Trademark,2024-11-01,SentinelShield
Detection Engine,Patent Pending,2025-01-15,SentinelShield
